,날짜,매수 종목,매수 금액,매수 종목,매수 금액
0,2021-07-13,"['066970', '205470', '028300', '122870', '091990', '067630', '036490', '069080', '078340', '035900', '041510', '100090', '095340', '243070', '046940', '089980', '041190', '035760', '005290', '196170']","['177.482', '77.493', '66.954', '50.435', '35.106', '33.597', '33.258', '30.029', '27.5110', '27.4211', '25.7412', '24.9513', '23.1414', '23.0915', '21.2516', '20.9817', '15.6718', '15.4319', '14.8520', '14.78']","['247540', '357780', '104480', '171090', '278280', '139670', '263750', '237750', '096530', '145020', '024740', '253840', '001000', '075130', '108320', '192250', '051160', '048260', '106240', '032300']","['60.942', '59.403', '48.594', '28.505', '26.616', '25.057', '23.608', '15.609', '15.5110', '13.8411', '13.2012', '13.0913', '12.6414', '12.2715', '11.8016', '11.7217', '10.2918', '10.1419', '10.0820', '9.09']"
1,2021-07-12,"['024740', '009520', '035760', '383310', '036490', '357780', '171090', '091990', '106240', '006050', '060230', '039840', '041460', '012340', '234340', '214150', '035600', '027360', '068760', '033130']","['64.072', '32.093', '22.624', '22.615', '21.296', '20.227', '18.068', '17.479', '16.4010', '16.2111', '14.6812', '14.0113', '13.6514', '12.7315', '11.5216', '11.4617', '11.3518', '9.2819', '9.1420', '8.95']","['293490', '247540', '066970', '278280', '108320', '082850', '263750', '274090', '289220', '078340', '347860', '145020', '178920', '089140', '041920', '065350', '084110', '137400', '037230', '086960']","['234.922', '191.973', '122.684', '57.455', '34.296', '22.527', '21.818', '18.509', '17.7610', '17.1611', '16.9512', '14.9413', '12.7514', '11.9515', '10.5516', '10.3617', '10.1418', '9.8619', '9.5220', '9.12']"
2,2021-07-09,"['247540', '293490', '104480', '357780', '082850', '086900', '091990', '214150', '196170', '035760', '144510', '089140', '243840', '075130', '278280', '215000', '043910', '067160', '281740', '109610']","['123.772', '83.463', '40.034', '31.885', '29.746', '29.687', '29.268', '28.979', '28.1810', '27.5511', '24.7212', '23.6713', '21.7714', '20.7215', '20.3316', '18.9917', '18.8318', '18.7419', '16.8320', '16.29']","['205470', '078340', '240810', '032300', '028300', '041190', '253450', '213420', '032500', '263700', '206640', '064760', '051160', '039840', '101160', '102710', '067000', '217620', '084370', '069080']","['93.752', '38.973', '32.804', '23.695', '23.376', '22.257', '20.518', '20.369', '19.8110', '16.7611', '15.6012', '15.1213', '12.5614', '12.2915', '11.7316', '11.5217', '11.0818', '10.8719', '10.6920', '10.67']"
3,2021-07-08,"['032300', '243840', '151860', '035760', '041510', '196170', '144510', '066970', '085660', '067160', '243070', '122870', '178920', '357230', '086900', '215000', '039840', '041190', '131970', '383310']","['63.042', '59.843', '45.774', '37.685', '35.736', '35.437', '33.788', '30.679', '28.5310', '27.8811', '21.8712', '21.5113', '19.6514', '19.5415', '19.3416', '18.6417', '17.2818', '16.7719', '15.5120', '14.63']","['247540', '078340', '274090', '240810', '206640', '206650', '109080', '263750', '077360', '230360', '272290', '141080', '032850', '104480', '067630', '189300', '028300', '109820', '253450', '099320']","['57.872', '34.423', '32.764', '32.235', '27.146', '23.087', '21.928', '21.279', '20.9010', '18.7111', '18.2412', '18.1213', '18.0314', '18.0315', '17.5616', '17.4917', '16.6518', '15.5919', '13.0420', '12.94']"
4,2021-07-07,"['066970', '278280', '082850', '247540', '067160', '041510', '036490', '086900', '048260', '011370', '038070', '048410', '028300', '085370', '357230', '067630', '178920', '104480', '214450', '206640']","['115.772', '75.413', '57.044', '53.585', '34.596', '34.457', '33.788', '30.649', '29.3310', '29.1111', '28.5012', '26.4513', '25.5314', '22.4315', '22.1416', '21.0517', '19.2218', '18.2219', '18.2120', '16.99']","['240810', '217600', '091990', '035610', '034230', '036540', '253450', '177830', '058630', '046890', '065350', '121440', '032300', '001000', '035900', '090460', '272290', '086450', '091700', '064260']","['51.322', '20.393', '17.974', '16.125', '15.666', '14.487', '11.748', '11.739', '11.3910', '10.3411', '10.3412', '10.1013', '9.9014', '9.8715', '9.4516', '9.3317', '9.3018', '9.2719', '8.8620', '8.08']"
5,2021-07-06,"['247540', '036490', '293490', '036540', '243840', '038880', '121440', '357780', '215200', '039020', '187870', '240810', '278280', '145020', '011370', '084370', '151860', '028300', '337930', '139670']","['57.962', '48.523', '39.924', '29.625', '20.976', '19.657', '19.108', '17.839', '16.6110', '13.4711', '13.0112', '12.2213', '11.9414', '11.6715', '11.4316', '11.3917', '11.3318', '11.0219', '10.5820', '10.34']","['091990', '066970', '263750', '319660', '039200', '053030', '095700', '009520', '022100', '183490', '041510', '048410', '058470', '214150', '068760', '000250', '078340', '234340', '049070', '035760']","['76.642', '64.703', '49.704', '30.605', '26.476', '24.507', '23.548', '21.249', '19.4610', '18.5711', '16.2712', '16.2713', '15.4614', '14.6215', '13.9016', '13.5617', '13.1318', '12.1519', '11.9920', '11.39']"
6,2021-07-05,"['247540', '293490', '078340', '077360', '035760', '090460', '028300', '091990', '032820', '131970', '278280', '067160', '041960', '041510', '189300', '009520', '145020', '290650', '274090', '000250']","['89.042', '79.033', '62.094', '50.745', '44.836', '41.487', '40.138', '30.739', '29.9910', '28.4811', '26.5612', '24.7713', '23.7314', '23.4915', '23.1616', '21.8717', '21.8018', '21.0319', '19.3520', '18.60']","['097520', '256840', '357780', '084370', '234340', '253450', '006910', '067990', '089980', '092040', '084850', '263860', '006050', '040610', '024850', '300080', '039830', '289220', '023440', '038500']","['45.532', '30.213', '21.084', '18.425', '14.646', '14.617', '13.268', '9.849', '8.8210', '8.3611', '6.9112', '6.8813', '6.8014', '6.0915', '5.9616', '5.7117', '5.5818', '5.4719', '5.1020', '5.02']"
7,2021-07-02,"['293490', '263750', '011370', '083640', '066970', '131290', '240810', '218410', '178920', '090850', '089980', '041510', '043910', '058470', '247540', '023410', '022100', '198440', '035760', '226950']","['93.242', '71.823', '65.634', '36.985', '28.236', '26.017', '21.848', '19.519', '19.3810', '18.4411', '16.6312', '16.2413', '15.5314', '13.6415', '13.3416', '12.7417', '12.5818', '11.6719', '11.0420', '9.75']","['035900', '196170', '068760', '340570', '151860', '051160', '183490', '040160', '049070', '084990', '235980', '072020', '096530', '067160', '253450', '214450', '024060', '278280', '015750', '104480']","['59.282', '33.453', '31.814', '30.795', '26.996', '25.397', '25.268', '21.479', '17.9110', '17.7011', '17.3612', '15.1513', '14.6214', '14.1415', '13.8516', '11.7617', '11.5418', '11.3619', '11.2620', '10.62']"
8,2021-07-01,"['263750', '247540', '104480', '138610', '035760', '253450', '178920', '218410', '151860', '095700', '010240', '036490', '300080', '171090', '051160', '310200', '183490', '067160', '049070', '030190']","['313.002', '44.943', '32.424', '32.165', '28.346', '28.337', '28.168', '28.159', '25.4710', '20.6511', '19.5712', '17.2013', '14.5914', '14.4715', '14.0316', '13.7217', '13.5818', '13.4819', '13.2420', '12.45']","['293490', '048260', '086900', '091990', '066970', '214150', '006910', '028300', '043910', '178320', '281740', '194480', '074600', '084370', '237690', '131970', '227100', '108320', '078340', '013990']","['61.002', '37.793', '21.804', '21.135', '21.086', '20.727', '19.278', '14.759', '13.4410', '12.5311', '11.7412', '11.2613', '11.0314', '10.5015', '9.6216', '9.5417', '9.5218', '9.1119', '8.3920', '7.78']"
9,2021-06-30,"['247540', '178920', '222800', '096530', '086900', '290510', '092190', '056190', '095700', '038880', '131970', '144510', '043910', '090410', '095610', '036490', '206560', '200230', '357780', '230240']","['60.552', '39.563', '32.544', '29.735', '28.506', '23.037', '17.228', '15.239', '14.8810', '13.4511', '12.0112', '11.7813', '11.0914', '10.5915', '10.3416', '9.5917', '9.5218', '9.0219', '8.7920', '8.67']","['293490', '217600', '041510', '263750', '085660', '214450', '006910', '074600', '064760', '243070', '101160', '007390', '085810', '058470', '023410', '340570', '065440', '082270', '030190', '046890']","['155.032', '50.833', '32.254', '31.435', '15.916', '13.527', '13.358', '13.069', '11.2810', '10.9711', '10.8612', '9.8813', '9.5714', '9.3615', '9.3316', '9.3117', '8.9918', '8.1819', '8.0920', '7.48']"
